situation,23
par,99
vos,36
nous,61
sécurité,33
réaliser,28
pains,58
poste,57
produits,102
sont,46
qualité,32
mois,26
respect,41
tâches,22
missions,63
travail,42
spécialisé,22
confiées,23
réalisation,32
seront,24
qui,34
chaque,22
notre,66
nos,115
êtes,80
vous,105
première,21
horaires,23
avez,32
garantit,23
ligne,36
que,28
recherche,30
cuisson,35
bonne,22
mission,52
serez,22
personnes,29
contribue,24
bon,26
préparation,51
repos,26
fabrication,69
effectuer,33
lui,24
intérim,23
votre,46
jours,30
production,36
mis,43
